duration,subscribed
117,no
274,yes
167,no
686,yes
157,no
126,no
84,no
17,no
704,yes
185,no
374,no
91,yes
169,yes
249,no
215,no
324,yes
159,yes
120,yes
337,yes
640,no
663,yes
403,yes
300,no
255,yes
293,yes
68,no
266,yes
272,yes
398,yes
126,no
35,no
126,no
683,yes
280,yes
161,no
191,no
1135,yes
81,no
1447,yes
436,no
132,no
328,yes
175,no
145,no
155,yes
115,yes
57,no
170,no
172,no
310,yes
711,no
63,no
87,no
154,no
124,no
328,yes
147,no
64,yes
739,yes
360,yes
105,no
113,no
767,yes
254,yes
341,no
301,no
148,no
171,yes
712,yes
104,no
39,no
229,yes
311,no
238,yes
364,yes
133,no
261,yes
389,no
160,no
70,no
206,yes
281,yes
166,yes
299,no
258,no
1011,yes
169,yes
355,no
254,yes
96,no
217,no
85,yes
232,yes
184,yes
571,yes
621,yes
600,yes
59,no
1130,yes
